Duration,Init,Name,Concat Size,Convergence Epoch,Layers,Learning Rate,Loss,Loss Val,Mae Test,Qubits,Rmse Test,Training Time,User,237.9682116,,209.88,265.62,,,suma total cuadr
5.1min,xavier,sp5001685Xavier,16,27,4,0.0005,0.000712885,0.195834042,78.26981143,8,83.2401567,48.41403818,52333,23940.77097,9432663.761,16037.64991,,243.6721,,689.6873916
3.7min,xavier,sp5001665Xavier,16,39,3,0.0005,0.000188946,0.19724346,78.43459437,6,83.53915945,30.56804848,52333,23848.33214,9396242.864,15962.00799,,762.3121,,638.1635916
2.7min,xavier,sp5001645Xavier,16,38,2,0.0005,8.79E-05,0.090082836,52.28170717,4,56.45596307,19.0724256,52333,32946.69636,12980998.37,23538.93511,,708.0921,,32.92579161
1.5min,xavier,sp5001625Xavier,16,7,1,0.0005,0.004320775,0.38533501,113.1610477,2,116.7637488,4.985980988,52333,14690.5218,5788065.588,8670.636235,,19.2721,,59.87819161
21.2min,xavier,btc16124Xavier,16,5,6,0.0005,0.000126866,0.000116423,525.2300168,12,579.1333828,531.8922341,52333,116393.6741,45859107.58,136348.0607,,40.8321,,59.87819161
11.8min,xavier,btc16104Xavier,16,5,5,0.0005,0.00012388,0.000111411,513.4681986,10,566.5288355,188.8920023,52333,107952.0836,42533120.93,127198.3918,,40.8321,,59.87819161
5.7min,xavier,btc1684Xavier,16,5,4,0.0005,0.000121226,0.000107932,505.3507715,8,557.6141699,51.68683004,52333,102173.5387,40256374.24,120919.0529,,40.8321,,59.87819161
3.6min,xavier,btc1664Xavier,16,5,3,0.0005,9.38E-05,0.000120325,538.7137165,6,588.7578327,21.63675833,52333,123053.3583,48483023.17,143548.4121,,40.8321,,59.87819161
2.7min,xavier,btc1644Xavier,16,5,2,0.0005,0.000130636,2.12E-05,199.1571139,4,247.4150033,12.14811397,52333,89.24187346,35161.29814,1408.876472,,40.8321,,59.87819161
1.4min,xavier,btc1624Xavier,16,5,1,0.0005,8.64E-05,0.00012483,546.7310125,2,599.6765553,5.864187241,52333,130832.9259,51548172.81,151941.3545,,40.8321,,638.1635916
26.8min,xavier,sp50016124Xavier,16,38,6,0.0005,0.00083572,0.215225352,81.89339017,12,87.264079,865.4405868,52333,22711.73558,8948423.818,15034.66408,,708.0921,,32.92579161
9.9min,xavier,sp50016104Xavier,16,7,5,0.0005,0.005590278,0.364294253,109.8991174,10,113.5311287,94.96645165,52333,15484.5876,6100927.514,9283.105002,,19.2721,,32.92579161
4.7min,xavier,sp5001684Xavier,16,7,4,0.0005,0.004701238,0.382152069,112.6834722,8,116.2805034,27.45205307,52333,14807.89832,5834311.938,8760.86576,,19.2721,,977.3063916
3.6min,xavier,sp5001664Xavier,16,44,3,0.0005,0.000115336,0.125809404,62.18566869,6,66.71835777,26.04946518,52333,29326.51243,11554645.9,20495.25581,,1063.4121,,1243.401592
2.6min,xavier,sp5001644Xavier,16,48,2,0.0005,6.81E-05,0.187847978,76.88917922,4,81.52523475,14.31201363,52333,24474.405,9642915.571,16474.94576,,1340.2921,,2233.687192
1.3min,xavier,sp5001624Xavier,16,60,1,0.0005,0.000267854,0.107997174,57.31090049,2,61.81515904,6.970003843,52333,31029.89792,12225779.78,21923.19713,,2362.9321,,59.87819161
21.3min,xavier,btc16123Xavier,16,5,6,0.0005,9.49E-05,0.000137811,574.3836112,12,630.085831,549.1234474,52333,153756.2275,60579953.63,176572.9404,,40.8321,,59.87819161
11.4min,xavier,btc16103Xavier,16,5,5,0.0005,0.000103176,0.000146874,595.6866224,10,650.4745951,184.960283,52333,170161.5164,67043637.46,194123.5972,,40.8321,,59.87819161
5.1min,xavier,btc1683Xavier,16,5,4,0.0005,6.66E-05,8.38E-05,442.8129482,8,491.4071641,47.49480295,52333,64231.30265,25307133.24,79257.54412,,40.8321,,59.87819161
3.5min,xavier,btc1663Xavier,16,5,3,0.0005,0.000129566,9.57E-05,473.5225596,6,525.0830893,23.664994,52333,82434.95301,32479371.49,99352.98751,,40.8321,,59.87819161
2.5min,xavier,btc1643Xavier,16,5,2,0.0005,0.00014181,6.39E-05,380.2282633,4,428.9062776,11.04442143,52333,36457.34505,14364193.95,47972.51027,,40.8321,,59.87819161
1.4min,xavier,btc1623Xavier,16,5,1,0.0005,8.30E-05,9.80E-05,485.9388967,2,531.2990226,5.461323738,52333,86042.96469,33900928.09,103310.1881,,40.8321,,371.0207916
24.3min,xavier,sp50016123Xavier,16,32,6,0.0005,0.004000335,0.314206705,101.3351847,12,105.4378447,739.6051052,52333,17564.29816,6920333.475,10908.16381,,424.7721,,22.44959161
9.7min,xavier,sp50016103Xavier,16,8,5,0.0005,0.005013065,0.329395586,104.203536,10,107.9562233,97.32899165,52333,16903.11711,6659828.14,10388.45626,,11.4921,,638.1635916
5.2min,xavier,sp5001683Xavier,16,38,4,0.0005,0.00040913,0.198599664,78.91477079,8,83.8258663,55.60440683,52333,23759.86261,9361385.868,15889.64462,,708.0921,,1243.401592
3.5min,xavier,sp5001663Xavier,16,48,3,0.0005,8.08E-05,0.144670594,66.76961343,6,71.54494069,30.4709208,52333,27696.7051,10912501.81,19136.58864,,1340.2921,,126.8303916
2.4min,xavier,sp5001643Xavier,16,24,2,0.0005,9.83E-05,0.158948554,69.60599299,4,74.99237118,11.54352284,52333,26561.12456,10465083.08,18194.67241,,159.0121,,27.68759161
1.3min,xavier,sp5001623Xavier,16,18,1,0.0005,5.19E-05,0.019671659,23.64456359,2,26.38209578,8.038921118,52333,44768.6844,17638861.65,33671.48085,,43.6921,,59.87819161
21.1min,xavier,btc16122Xavier,16,5,6,0.0005,6.85E-05,4.81E-05,326.6410644,12,372.3556188,558.6511383,52333,18059.97521,7115630.234,26398.3267,,40.8321,,59.87819161
10.8min,xavier,btc16102Xavier,16,5,5,0.0005,5.46E-05,2.45E-05,206.7161494,10,265.8952117,162.0901828,52333,779.9173372,307287.4309,3137.703946,,40.8321,,59.87819161
4.9min,xavier,btc1682Xavier,16,5,4,0.0005,5.96E-05,2.31E-05,205.7850888,8,257.9899432,47.30836797,52333,400.8697359,157942.6759,2314.566633,,40.8321,,59.87819161
3.4min,xavier,btc1662Xavier,16,5,3,0.0005,9.21E-05,0.000139865,577.672568,6,634.7657031,24.09475422,52333,157448.2493,62034610.21,180527.8607,,40.8321,,59.87819161
2.4min,xavier,btc1642Xavier,16,5,2,0.0005,0.00011931,6.52E-05,387.2413744,4,433.5213854,13.37671113,52333,38241.04378,15066971.25,50015.46925,,40.8321,,59.87819161
1.2min,xavier,btc1622Xavier,16,5,1,0.0005,8.85E-05,2.58E-05,236.6837139,2,272.5679586,7.661039829,52333,1197.142493,471674.1424,3929.780153,,40.8321,,1871.591992
32.9min,xavier,sp50016122Xavier,16,56,6,0.0005,0.000129908,0.283127141,93.77535327,12,100.0874321,1261.414495,52333,19011.10934,7490377.081,12054.40796,,1990.0521,,856.2587916
12.6min,xavier,sp50016102Xavier,16,42,5,0.0005,0.000595283,0.108521981,56.99439631,10,61.96517079,270.0447609,52333,30977.07037,12204965.73,21878.7967,,936.9721,,452.0683916
